Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice
1437,907181120,782.0,870.0,0,NA,3,1Fam,TA,Mn,0,0,Gd,255.0,527.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,532.0,2,TA,RFn,TA,Attchd,1652.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8998.0,Inside,IR1,0.0,060,RL,120.0,BrkFace,NA,0.0,6,CollgCr,70.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,782.0,AllPub,0.0,2000,2000,2008,207500
1438,907181140,882.0,908.0,0,NA,3,1Fam,TA,No,1,0,Gd,240.0,633.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,588.0,2,TA,RFn,TA,Attchd,1790.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9179.0,Inside,IR1,0.0,060,RL,158.0,BrkFace,NA,0.0,6,CollgCr,88.0,5,7,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,7,873.0,AllPub,0.0,1999,1999,2008,193000
1439,907187030,880.0,844.0,0,NA,3,1Fam,TA,Av,0,0,Gd,880.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,527.0,2,TA,Fin,TA,Attchd,1724.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8924.0,CulDSac,IR1,0.0,060,RL,0.0,None,NA,0.0,7,CollgCr,155.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,880.0,AllPub,120.0,1998,1999,2008,188000
1440,907187080,1479.0,0.0,0,NA,3,1Fam,TA,No,0,0,Gd,1468.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,577.0,2,TA,RFn,TA,Attchd,1479.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9382.0,CulDSac,IR1,0.0,020,RL,125.0,BrkFace,NA,0.0,7,CollgCr,25.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1468.0,AllPub,120.0,1999,2000,2008,191000
1441,907192130,1494.0,0.0,0,NA,3,1Fam,TA,Mn,1,0,Gd,572.0,922.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,530.0,2,TA,RFn,TA,Attchd,1494.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,12803.0,Inside,IR1,0.0,020,RL,99.0,BrkFace,NA,0.0,9,CollgCr,36.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1494.0,AllPub,192.0,2002,2002,2008,221000
1442,907194020,963.0,829.0,245,NA,3,1Fam,TA,No,0,0,Gd,602.0,361.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,564.0,2,TA,RFn,TA,Attchd,1792.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,12435.0,Inside,Reg,0.0,060,RL,172.0,BrkFace,NA,0.0,5,CollgCr,96.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,963.0,AllPub,0.0,2001,2001,2008,231500
1443,907196040,928.0,895.0,0,NA,3,1Fam,TA,No,1,0,Gd,265.0,663.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,626.0,2,TA,RFn,TA,Attchd,1823.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,12192.0,Inside,IR1,0.0,060,RL,0.0,None,Shed,4500.0,5,CollgCr,36.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,928.0,AllPub,192.0,2000,2001,2008,235000
1444,907196050,920.0,866.0,0,NA,3,1Fam,TA,Mn,1,0,Gd,434.0,486.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,608.0,2,TA,RFn,TA,Attchd,1786.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250.0,Inside,IR1,0.0,060,RL,162.0,BrkFace,NA,0.0,9,CollgCr,42.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,920.0,AllPub,0.0,2001,2002,2008,223500
1445,907200110,938.0,0.0,0,NA,3,1Fam,TA,Av,1,0,Gd,167.0,280.0,491.0,LwQ,BLQ,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,NA,0,CBlock,1,Typ,308.0,1,TA,Unf,TA,Detchd,938.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9200.0,CulDSac,IR1,0.0,020,RL,0.0,None,NA,0.0,7,CollgCr,0.0,6,5,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,5,938.0,AllPub,145.0,1975,1980,2008,130250
1446,907201060,985.0,0.0,0,NA,3,1Fam,Gd,Av,0,0,Gd,390.0,595.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,HdBoard,HdBoard,NA,NA,0,CBlock,2,Typ,328.0,1,TA,Unf,TA,Attchd,985.0,0,GasA,TA,SLvl,1,TA,Lvl,Gtl,8385.0,Inside,Reg,0.0,080,RL,220.0,BrkFace,NA,0.0,11,CollgCr,0.0,8,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,985.0,AllPub,210.0,1977,1977,2008,149900
1447,907202010,1174.0,0.0,0,NA,3,1Fam,TA,Mn,1,0,Gd,83.0,781.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,280.0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Typ,528.0,2,TA,Unf,TA,Attchd,1174.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,12250.0,Inside,IR1,0.0,020,RL,180.0,BrkFace,NA,0.0,5,CollgCr,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,864.0,AllPub,211.0,1978,1978,2008,158000
1448,907202160,1026.0,0.0,0,NA,3,1Fam,Gd,Gd,1,0,Gd,0.0,505.0,435.0,GLQ,LwQ,Y,Norm,Norm,SBrkr,34.0,TA,TA,Plywood,HdBoard,MnPrv,NA,0,CBlock,1,Typ,576.0,2,Fa,Unf,TA,Detchd,1026.0,0,GasA,TA,SLvl,1,TA,Low,Mod,10970.0,Inside,IR1,0.0,080,RL,0.0,None,NA,0.0,10,CollgCr,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,940.0,AllPub,0.0,1978,1978,2008,147000
1449,907202190,1076.0,0.0,0,NA,3,1Fam,TA,Av,0,0,TA,782.0,294.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,Fa,1,CBlock,1,Typ,576.0,2,TA,Unf,TA,Detchd,1076.0,1,GasA,TA,1Story,1,TA,Lvl,Gtl,9216.0,Inside,IR1,0.0,020,RL,176.0,BrkFace,NA,0.0,9,CollgCr,0.0,6,5,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,5,1076.0,AllPub,0.0,1975,1975,2008,143195
1450,907202240,1558.0,0.0,0,NA,2,1Fam,TA,No,1,0,TA,180.0,88.0,596.0,Rec,ALQ,Y,Norm,Norm,SBrkr,239.0,TA,TA,Plywood,Wd Sdng,NA,NA,0,CBlock,2,Min2,440.0,2,TA,Fin,TA,Attchd,1558.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,14330.0,CulDSac,IR1,0.0,020,RL,0.0,None,NA,0.0,8,CollgCr,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,227.0,Pave,5,864.0,AllPub,140.0,1975,2001,2008,163000
1451,907203090,924.0,0.0,0,NA,3,1Fam,TA,No,0,0,Gd,924.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,NA,0,CBlock,1,Typ,280.0,1,TA,Unf,TA,Detchd,924.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7990.0,Inside,IR1,0.0,020,RL,0.0,None,NA,0.0,4,CollgCr,0.0,6,5,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,5,924.0,AllPub,0.0,1975,1975,2008,110000
1452,907227050,864.0,0.0,0,NA,3,1Fam,TA,Av,0,0,TA,474.0,390.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Typ,352.0,1,TA,Unf,TA,Detchd,864.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7180.0,Inside,IR1,0.0,020,RL,0.0,None,NA,0.0,5,CollgCr,0.0,7,5,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,5,864.0,AllPub,0.0,1972,1972,2008,127000
1453,907227300,780.0,0.0,0,NA,2,1Fam,TA,Av,0,0,TA,148.0,632.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,NA,0,CBlock,1,Typ,352.0,1,TA,Unf,TA,Detchd,780.0,0,GasA,Ex,1Story,1,TA,Bnk,Gtl,7200.0,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,1,CollgCr,0.0,7,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,780.0,AllPub,196.0,1972,1972,2008,124900
1454,907250020,1795.0,0.0,0,NA,3,1Fam,TA,No,0,0,Gd,1777.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,534.0,2,TA,RFn,TA,Attchd,1795.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742.0,Inside,Reg,0.0,020,RL,281.0,BrkFace,NA,0.0,9,CollgCr,159.0,5,8,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,1777.0,AllPub,171.0,2002,2002,2008,230000
1456,907253060,992.0,873.0,0,NA,3,1Fam,TA,No,1,0,Gd,257.0,735.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,839.0,3,TA,RFn,TA,Attchd,1865.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10316.0,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,6,CollgCr,184.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,992.0,AllPub,0.0,2000,2000,2008,235000
1457,907253110,1290.0,871.0,0,NA,3,1Fam,TA,No,0,0,Gd,1257.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,570.0,2,TA,RFn,TA,Attchd,2161.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10400.0,Inside,Reg,0.0,060,RL,227.0,BrkFace,NA,0.0,6,CollgCr,84.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,1257.0,AllPub,0.0,2001,2001,2008,230500
1458,907254020,1004.0,848.0,0,NA,3,1Fam,TA,Mn,0,0,Gd,336.0,668.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,GdPrv,TA,2,PConc,2,Typ,660.0,3,TA,Fin,TA,Attchd,1852.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9066.0,Inside,IR1,0.0,060,RL,320.0,BrkFace,NA,0.0,12,CollgCr,106.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1004.0,AllPub,224.0,1999,2000,2008,230000
1459,907254090,1153.0,878.0,0,NA,3,1Fam,TA,Av,0,0,Gd,901.0,252.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,541.0,2,TA,Fin,TA,Attchd,2031.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11404.0,Inside,IR1,0.0,060,RL,202.0,BrkFace,NA,0.0,7,CollgCr,84.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,1153.0,AllPub,192.0,1998,1999,2008,222500
1460,907255020,1055.0,1208.0,0,NA,3,1Fam,TA,No,0,0,Gd,1055.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,905.0,2,TA,Fin,TA,BuiltIn,2263.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9240.0,Inside,Reg,0.0,060,RL,396.0,BrkFace,NA,0.0,9,CollgCr,45.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,189.0,Pave,7,1055.0,AllPub,0.0,2001,2002,2008,287000
1461,907255030,1366.0,581.0,0,NA,3,1Fam,TA,Mn,1,0,Gd,163.0,1194.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,725.0,3,TA,Fin,TA,BuiltIn,1947.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9720.0,CulDSac,IR1,0.0,060,RL,134.0,BrkFace,NA,0.0,1,CollgCr,116.0,5,9,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1357.0,AllPub,168.0,2001,2002,2008,274000
1462,907255060,1786.0,0.0,0,NA,3,1Fam,TA,Gd,1,0,Ex,240.0,1538.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,715.0,3,TA,RFn,TA,Attchd,1786.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14860.0,CulDSac,IR2,0.0,020,RL,240.0,BrkFace,NA,0.0,6,CollgCr,35.0,5,8,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,6,1778.0,AllPub,182.0,2002,2003,2008,300000
1463,907260010,1149.0,1141.0,0,NA,4,1Fam,TA,Mn,0,0,Gd,1128.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,CemntBd,CemntBd,NA,Gd,1,PConc,2,Typ,779.0,2,TA,Unf,TA,Attchd,2290.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250.0,Corner,Reg,0.0,060,RL,0.0,None,NA,0.0,5,CollgCr,0.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,9,1128.0,AllPub,0.0,2002,2002,2008,255900
1464,907262030,884.0,884.0,0,NA,3,1Fam,TA,No,1,0,Gd,334.0,550.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,543.0,2,TA,RFn,TA,Attchd,1768.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8158.0,Inside,Reg,0.0,060,RL,252.0,BrkFace,NA,0.0,7,CollgCr,63.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,884.0,AllPub,0.0,2003,2003,2008,224900
1465,907262060,1129.0,1198.0,0,NA,4,1Fam,TA,No,0,0,Gd,1129.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,596.0,2,TA,RFn,TA,BuiltIn,2327.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10905.0,CulDSac,IR2,0.0,060,RL,0.0,None,NA,0.0,8,CollgCr,57.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,9,1129.0,AllPub,0.0,2003,2003,2008,240000
1466,907262070,798.0,842.0,0,NA,3,1Fam,TA,No,0,0,Gd,798.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,595.0,2,TA,RFn,TA,Attchd,1640.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,7226.0,CulDSac,IR1,0.0,060,RL,0.0,None,NA,0.0,6,CollgCr,45.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,798.0,AllPub,0.0,2003,2003,2008,183000
1467,907265100,886.0,878.0,0,NA,3,1Fam,TA,Av,0,0,Gd,850.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,560.0,2,TA,Unf,TA,Attchd,1764.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11690.0,Inside,IR1,0.0,060,RL,192.0,BrkFace,NA,0.0,6,CollgCr,29.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,850.0,AllPub,120.0,1999,2000,2008,207000
1468,907285080,933.0,975.0,0,NA,4,1Fam,TA,No,1,0,Gd,273.0,642.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,493.0,2,TA,Unf,TA,Attchd,1908.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8750.0,Inside,Reg,0.0,060,RL,0.0,None,NA,0.0,7,CollgCr,133.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,915.0,AllPub,144.0,1994,1995,2008,210000
1469,907290150,848.0,0.0,0,NA,1,TwnhsE,TA,Av,1,0,Gd,162.0,686.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,1,Typ,420.0,2,TA,Fin,TA,Attchd,848.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,4435.0,Inside,Reg,0.0,120,RM,170.0,BrkFace,NA,0.0,3,CollgCr,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,3,848.0,AllPub,140.0,2003,2003,2008,136500
1470,907290250,848.0,0.0,0,NA,1,TwnhsE,TA,Mn,1,0,Gd,186.0,662.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,1,Typ,420.0,2,TA,RFn,TA,Attchd,848.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,4426.0,Inside,Reg,0.0,120,RM,205.0,BrkFace,NA,0.0,2,CollgCr,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,3,848.0,AllPub,140.0,2004,2004,2008,145000
1471,907295020,1493.0,0.0,0,NA,3,1Fam,TA,Gd,1,0,Gd,484.0,994.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,508.0,2,TA,Fin,TA,Attchd,1493.0,0,GasA,Ex,1Story,1,Gd,Lvl,Mod,13125.0,Inside,Reg,0.0,020,RL,215.0,BrkFace,NA,0.0,4,CollgCr,39.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1478.0,AllPub,140.0,1997,1998,2008,208900
1472,907295100,1838.0,0.0,0,NA,2,Duplx,TA,Gd,2,0,Gd,83.0,1593.0,162.0,GLQ,LwQ,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,721.0,3,TA,Unf,TA,Attchd,1838.0,0,GasA,Ex,SFoyer,2,TA,Lvl,Gtl,10126.0,Corner,Reg,0.0,090,RM,0.0,None,NA,0.0,7,CollgCr,67.0,5,6,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,8,1838.0,AllPub,160.0,1997,1998,2008,185000
1473,907405020,1536.0,0.0,0,NA,3,1Fam,TA,Av,1,0,Gd,726.0,810.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,532.0,2,TA,RFn,TA,Attchd,1536.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9135.0,Inside,Reg,0.0,020,RL,113.0,BrkFace,NA,0.0,12,CollgCr,74.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1536.0,AllPub,192.0,2002,2003,2008,214000
1474,907405140,856.0,854.0,0,NA,3,1Fam,TA,No,1,0,Gd,150.0,706.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,548.0,2,TA,RFn,TA,Attchd,1710.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450.0,Inside,Reg,0.0,060,RL,196.0,BrkFace,NA,0.0,2,CollgCr,61.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,856.0,AllPub,0.0,2003,2003,2008,208500
1475,907412040,1445.0,0.0,0,NA,3,1Fam,TA,Mn,0,0,Gd,1421.0,24.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,470.0,2,TA,Unf,TA,Attchd,1445.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9750.0,Inside,Reg,0.0,020,RL,50.0,Stone,NA,0.0,6,CollgCr,35.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1445.0,AllPub,0.0,2004,2004,2008,186500
1476,907412070,1436.0,0.0,0,NA,3,1Fam,TA,Mn,1,0,Gd,490.0,946.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,484.0,2,TA,Unf,TA,Attchd,1436.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8450.0,Inside,Reg,0.0,020,RL,266.0,BrkFace,NA,0.0,4,CollgCr,98.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,1436.0,AllPub,139.0,2004,2004,2008,210000
1477,907412080,770.0,812.0,0,NA,3,1Fam,TA,No,0,0,Gd,280.0,490.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,520.0,2,TA,RFn,TA,Attchd,1582.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8320.0,Inside,Reg,0.0,060,RL,0.0,None,NA,0.0,9,CollgCr,45.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,770.0,AllPub,0.0,2004,2004,2008,185900
1478,907412090,1234.0,0.0,0,NA,3,1Fam,TA,Av,0,0,Ex,1234.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,484.0,2,TA,RFn,TA,Attchd,1234.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049.0,Corner,Reg,0.0,020,RL,0.0,None,NA,0.0,1,CollgCr,30.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1234.0,AllPub,0.0,2007,2007,2008,179900
1479,907418010,1564.0,0.0,0,NA,3,1Fam,TA,No,0,0,Gd,1508.0,56.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,814.0,3,TA,RFn,TA,Attchd,1564.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11058.0,Corner,Reg,0.0,020,RL,212.0,Stone,NA,0.0,2,CollgCr,24.0,6,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1564.0,AllPub,0.0,2007,2007,2008,218836
1480,907418040,1361.0,0.0,0,NA,3,1Fam,TA,Av,0,0,Gd,1327.0,24.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,610.0,2,TA,RFn,TA,Attchd,1361.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9627.0,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,6,CollgCr,50.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1351.0,AllPub,0.0,2007,2007,2008,193000
1481,907420080,728.0,728.0,0,NA,3,1Fam,TA,Av,1,0,Gd,80.0,648.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,WdShing,WdShing,NA,Gd,1,PConc,2,Typ,410.0,2,TA,Fin,TA,Attchd,1456.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8199.0,Inside,Reg,0.0,060,RL,0.0,None,NA,0.0,10,CollgCr,18.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,728.0,AllPub,36.0,2005,2005,2008,189000
1482,907425010,848.0,0.0,0,NA,1,TwnhsE,TA,Av,1,0,Gd,151.0,697.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,1,Typ,420.0,2,TA,RFn,TA,Attchd,848.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,4426.0,Inside,Reg,0.0,120,RM,147.0,BrkFace,NA,0.0,5,CollgCr,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,3,848.0,AllPub,149.0,2004,2004,2008,149300
